Location,Price,Type,No_Beds,No_Baths,Area,Latitude,Longitude,Region,Sub_region
"Shahjadpur, Badda, Dhaka",6800000,Apartment,3,3,1110,23.77153,90.4254,Badda,Shahjadpur
"Middle Monipur, Mirpur, Dhaka",4950000,Apartment,3,2,1100,23.81223,90.35967,Mirpur,Middle Monipur
"Karwan Bazar, Tejgaon, Dhaka",4285000,Apartment,2,2,850,23.7921,90.37846,Tejgaon,Karwan Bazar
"Bank Colony, Savar, Dhaka",4300000,Apartment,3,2,1150,23.84152,90.24643,Savar,Bank Colony
"Block I, Bashundhara R-A, Dhaka",12220000,Apartment,3,4,1880,23.66803,90.43935,BashundharaR-A,Block I
"Block F, Aftab Nagar, Dhaka",7500000,Apartment,3,3,1330,23.75625,90.36915,AftabNagar,Block F
"Jigatola, Hazaribag, Dhaka",8670000,Apartment,3,3,1275,23.73926,90.37563,Hazaribag,Jigatola
"Science Museum To Water Tank Road, Agargaon, Dhaka",6300000,Apartment,3,2,1260,23.77323,90.37154,Agargaon,Science Museum To Water Tank Road
"Shahid Latif Road, Dakshin Khan, Dhaka",6000000,Apartment,3,3,1260,23.85876,90.41333,DakshinKhan,Shahid Latif Road
"East Rampura, Rampura, Dhaka",7000000,Apartment,4,4,1510,23.76036,90.41909,Rampura,East Rampura
"Uttar Badda, Badda, Dhaka",5000000,Apartment,3,3,1000,23.81501,90.43623,Badda,Uttar Badda
"Block A, Lalmatia, Dhaka",18848500,Apartment,3,3,1639,23.75669,90.37316,Lalmatia,Block A
"Nobodoy Housing Society, Mohammadpur, Dhaka",3600000,Apartment,2,2,750,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Green City Housing, Mohammadpur, Dhaka",4000000,Apartment,3,2,1098,23.76427,90.36547,Mohammadpur,Green City Housing
"Darussalam, Mirpur, Dhaka",4800000,Apartment,3,3,1050,23.7792,90.35374,Mirpur,Darussalam
"Block F, Aftab Nagar, Dhaka",8500000,Apartment,3,3,1600,23.75625,90.36915,AftabNagar,Block F
"Block F, Bashundhara R-A, Dhaka",70000000,Building,18,10,9120,23.75625,90.36915,BashundharaR-A,Block F
"Girls School Road, Dakshin Khan, Dhaka",4348500,Apartment,3,2,1115,23.74927,90.38295,DakshinKhan,Girls School Road
"Dhalpur, Jatra Bari, Dhaka",3600000,Apartment,2,2,800,23.71667,90.42181,JatraBari,Dhalpur
"New Eskaton Road, Eskaton, Dhaka",18000000,Apartment,3,4,1785,23.74751,90.40013,Eskaton,New Eskaton Road
"Block C, Bashundhara R-A, Dhaka",12000000,Apartment,3,3,1400,23.75596,90.37065,BashundharaR-A,Block C
"West Shewrapara, Mirpur, Dhaka",4500000,Apartment,2,2,950,23.81223,90.35967,Mirpur,West Shewrapara
"Block H, Banasree, Dhaka",4300000,Apartment,2,2,872,23.76354,90.4318,Banasree,Block H
"Section 12, Mirpur, Dhaka",2000000,Apartment,1,1,450,23.81223,90.35967,Mirpur,Section 12
"Hossain Saheb Goli, Zafrabad, Dhaka",4000000,Apartment,3,3,1225,23.71875,90.36767,Zafrabad,Hossain Saheb Goli
"Pallabi, Mirpur, Dhaka",7900000,Apartment,3,3,1300,23.82566,90.37001,Mirpur,Pallabi
"Nobodoy Housing Society, Mohammadpur, Dhaka",5355000,Apartment,3,3,1021,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Malibag College Road, Malibagh, Dhaka",5400000,Apartment,2,2,900,23.85919,90.42506,Malibagh,Malibag College Road
"Block E, Banasree, Dhaka",9000000,Apartment,4,4,1800,23.76354,90.4318,Banasree,Block E
"Nayatola, Maghbazar, Dhaka",9200000,Apartment,3,3,1420,23.75474,90.40769,Maghbazar,Nayatola
"Block E, Lalmatia, Dhaka",5500000,Apartment,2,2,650,23.81881,90.37802,Lalmatia,Block E
"Kallyanpur, Mirpur, Dhaka",4200000,Apartment,3,3,1050,23.81467,90.37306,Mirpur,Kallyanpur
"East Bashabo, Bashabo, Dhaka",5863500,Apartment,2,2,1303,23.7405,90.43472,Bashabo,East Bashabo
"Gulshan 1, Gulshan, Dhaka",35000000,Apartment,3,4,2700,23.79059,90.42566,Gulshan,Gulshan 1
"Bangshal Road, Bangshal, Dhaka",4134900,Apartment,2,2,537,23.76629,90.41775,Bangshal,Bangshal Road
"Section 2, Mirpur, Dhaka",8880000,Apartment,3,3,1480,23.81223,90.35967,Mirpur,Section 2
"Sector 7, Uttara, Dhaka",10200000,Apartment,3,3,1500,23.86846,90.3928,Uttara,Sector 7
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",6300000,Apartment,3,3,1050,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Gulshan 2, Gulshan, Dhaka",29000000,Apartment,3,3,1922,23.79059,90.42566,Gulshan,Gulshan 2
"Block A, Lalmatia, Dhaka",18848500,Apartment,3,3,1639,23.75669,90.37316,Lalmatia,Block A
"Bank Colony, Savar, Dhaka",4300000,Apartment,3,2,1150,23.84152,90.24643,Savar,Bank Colony
"Middle Badda, Badda, Dhaka",5150000,Apartment,3,2,1030,23.77753,90.4259,Badda,Middle Badda
"Kadamtali, Shyampur, Dhaka",4000000,Apartment,2,2,977,23.68094,90.43935,Shyampur,Kadamtali
"Bata Goli, Maghbazar, Dhaka",6000000,Apartment,3,2,1125,23.74966,90.4036,Maghbazar,Bata Goli
"Uttar Badda, Badda, Dhaka",5539500,Apartment,3,3,1231,23.81501,90.43623,Badda,Uttar Badda
"Matikata, Cantonment, Dhaka",1600000,Apartment,2,1,450,23.81934,90.39418,Cantonment,Matikata
"Shekhertek, Mohammadpur, Dhaka",6200000,Apartment,3,3,1350,23.76427,90.36547,Mohammadpur,Shekhertek
"Karwan Bazar, Tejgaon, Dhaka",4285000,Apartment,2,2,850,23.7921,90.37846,Tejgaon,Karwan Bazar
"Block F, Aftab Nagar, Dhaka",6000000,Apartment,3,2,1004,23.75625,90.36915,AftabNagar,Block F
"Sector 12, Uttara, Dhaka",6300000,Apartment,2,2,990,23.86846,90.3928,Uttara,Sector 12
"Alu Bazar, Bangshal, Dhaka",1830000,Apartment,2,1,450,23.71753,90.40474,Bangshal,Alu Bazar
"Mansurabad Housing Society, Adabor, Dhaka",9100000,Apartment,3,3,1490,23.7766,90.36276,Adabor,Mansurabad Housing Society
"Block C, Bashundhara R-A, Dhaka",11000000,Apartment,3,3,1400,23.75596,90.37065,BashundharaR-A,Block C
"Sector 7, Uttara, Dhaka",11000000,Apartment,3,3,1530,23.86846,90.3928,Uttara,Sector 7
"Block B, Bashundhara R-A, Dhaka",16500000,Apartment,3,4,2110,23.75729,90.36781,BashundharaR-A,Block B
"Gulshan 2, Gulshan, Dhaka",35000000,Apartment,3,3,2750,23.79059,90.42566,Gulshan,Gulshan 2
"Section 12, Mirpur, Dhaka",11200000,Apartment,3,3,1720,23.81223,90.35967,Mirpur,Section 12
"Section 12, Mirpur, Dhaka",2800000,Apartment,2,2,600,23.81223,90.35967,Mirpur,Section 12
"Konapara, Demra, Dhaka",2500000,Apartment,2,2,870,23.71032,90.46983,Demra,Konapara
"Adarsha Nagar, Badda, Dhaka",5200000,Apartment,3,3,1300,23.81501,90.43623,Badda,Adarsha Nagar
"Block A, Bashundhara R-A, Dhaka",10000000,Apartment,3,4,1500,23.75669,90.37316,BashundharaR-A,Block A
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",9639000,Apartment,3,3,1530,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Block F, Bashundhara R-A, Dhaka",12000000,Apartment,3,3,1730,23.75625,90.36915,BashundharaR-A,Block F
"Block G, Banasree, Dhaka",7507000,Apartment,3,3,1241,23.76354,90.4318,Banasree,Block G
"Road No 7, Banani, Dhaka",13500000,Apartment,3,3,1240,23.75412,90.36958,Banani,Road No 7
"Section 11, Mirpur, Dhaka",7280000,Apartment,4,4,1456,23.81223,90.35967,Mirpur,Section 11
"Sector 13, Uttara, Dhaka",28902600,Apartment,3,4,2407,23.86846,90.3928,Uttara,Sector 13
"Monipuripara, Tejgaon, Dhaka",12500000,Apartment,3,3,1250,23.7921,90.37846,Tejgaon,Monipuripara
"Bochila, Mohammadpur, Dhaka",9960000,Apartment,4,4,2400,23.76427,90.36547,Mohammadpur,Bochila
"Ashkona, Dakshin Khan, Dhaka",8810000,Apartment,3,3,1385,23.85159,90.4151,DakshinKhan,Ashkona
"Sector 10, Uttara, Dhaka",14137500,Apartment,3,5,2175,23.86846,90.3928,Uttara,Sector 10
"East Monipur, Mirpur, Dhaka",4000000,Apartment,2,2,920,23.81223,90.35967,Mirpur,East Monipur
"Darussalam, Mirpur, Dhaka",5500000,Apartment,3,3,1100,23.7792,90.35374,Mirpur,Darussalam
"Block C, Aftab Nagar, Dhaka",7950000,Apartment,3,3,1250,23.75596,90.37065,AftabNagar,Block C
"Sector 4, Uttara, Dhaka",14500000,Apartment,3,3,1600,23.86846,90.3928,Uttara,Sector 4
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",8800000,Apartment,3,3,1350,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Motijheel Extension, Motijheel, Dhaka",11000000,Apartment,3,3,1711,23.72558,90.42179,Motijheel,Motijheel Extension
"Pallabi, Mirpur, Dhaka",7900000,Apartment,3,3,1300,23.82566,90.37001,Mirpur,Pallabi
"Block A, Bashundhara R-A, Dhaka",25000000,Apartment,4,4,2230,23.75669,90.37316,BashundharaR-A,Block A
"Shah Kabir Mazar Road, Dakshin Khan, Dhaka",7600000,Apartment,3,3,1500,23.86765,90.40599,DakshinKhan,Shah Kabir Mazar Road
"Pirerbag, Mirpur, Dhaka",40000000,Building,22,10,11880,23.81223,90.35967,Mirpur,Pirerbag
"Uttar Badda, Badda, Dhaka",5700000,Apartment,3,3,1150,23.81501,90.43623,Badda,Uttar Badda
"Pragati Soroni, Kuril, Dhaka",9000000,Duplex,3,3,1210,23.81704,90.42085,Kuril,Pragati Soroni
"Sobhanbag, Savar, Dhaka",4500000,Apartment,3,3,1220,23.84152,90.24643,Savar,Sobhanbag
"Taltola, Khilgaon, Dhaka",5000000,Apartment,2,2,850,23.75349,90.42469,Khilgaon,Taltola
"East Rampura, Rampura, Dhaka",7438500,Apartment,3,3,1653,23.76036,90.41909,Rampura,East Rampura
"Section 10, Mirpur, Dhaka",4700000,Apartment,3,2,900,23.81223,90.35967,Mirpur,Section 10
"Darussalam, Mirpur, Dhaka",4508000,Apartment,2,2,980,23.7792,90.35374,Mirpur,Darussalam
"Adarsha Nagar, Badda, Dhaka",5500000,Apartment,3,3,1350,23.81501,90.43623,Badda,Adarsha Nagar
"Uttar Badda, Badda, Dhaka",6050000,Apartment,3,3,1200,23.81501,90.43623,Badda,Uttar Badda
"Mohammadi Homes R/A, Mohammadpur, Dhaka",4750000,Apartment,2,2,900,23.762609,90.351915,Mohammadpur,Mohammadi Homes R/A
"Sobhanbag, Savar, Dhaka",4500000,Apartment,3,3,1220,23.84152,90.24643,Savar,Sobhanbag
"Bashabo Madartek Road, Bashabo, Dhaka",8280000,Apartment,3,3,1280,23.76629,90.41775,Bashabo,Bashabo Madartek Road
"Block I, Bashundhara R-A, Dhaka",37130000,Apartment,5,4,3970,23.66803,90.43935,BashundharaR-A,Block I
"West Agargaon, Agargaon, Dhaka",8000000,Apartment,3,3,1425,23.77323,90.37154,Agargaon,West Agargaon
"Sector 4, Uttara, Dhaka",26000000,Apartment,4,4,2250,23.86846,90.3928,Uttara,Sector 4
"Middle Badda, Badda, Dhaka",5040000,Apartment,3,2,1050,23.77753,90.4259,Badda,Middle Badda
"Rayer Bazaar, Hazaribag, Dhaka",8700000,Apartment,3,3,1450,23.74769,90.36325,Hazaribag,Rayer Bazaar
"Section 10, Mirpur, Dhaka",10000000,Apartment,3,3,1350,23.81223,90.35967,Mirpur,Section 10
"Dhalpur, Jatra Bari, Dhaka",25000000,Building,24,10,8000,23.71667,90.42181,JatraBari,Dhalpur
"South Bashabo, Bashabo, Dhaka",7500000,Apartment,3,3,1260,23.7405,90.43472,Bashabo,South Bashabo
"Middle Monipur, Mirpur, Dhaka",4950000,Apartment,3,2,1100,23.81223,90.35967,Mirpur,Middle Monipur
"Road No 2, Shyamoli, Dhaka",6125000,Apartment,3,3,1225,23.78197,90.39943,Shyamoli,Road No 2
"Road No 2, Shyamoli, Dhaka",9500000,Apartment,4,4,2000,23.78197,90.39943,Shyamoli,Road No 2
"Shukrabad, Dhanmondi, Dhaka",9230000,Apartment,3,3,1410,23.7526,90.37758,Dhanmondi,Shukrabad
"Ashkona, Dakshin Khan, Dhaka",5000000,Apartment,3,3,1145,23.85159,90.4151,DakshinKhan,Ashkona
"Chowdhuripara, Khilgaon, Dhaka",12500000,Apartment,3,3,1290,23.75349,90.42469,Khilgaon,Chowdhuripara
"Green City Housing, Mohammadpur, Dhaka",5200000,Apartment,3,3,1300,23.76427,90.36547,Mohammadpur,Green City Housing
"Block G, Banasree, Dhaka",7507000,Apartment,3,3,1241,23.76354,90.4318,Banasree,Block G
"Salimuddin Market Road, Mirpur, Dhaka",8088000,Apartment,3,3,1440,23.81467,90.37306,Mirpur,Salimuddin Market Road
"Uttar Badda, Badda, Dhaka",3500000,Apartment,2,1,700,23.81501,90.43623,Badda,Uttar Badda
"Nurer Chala, Badda, Dhaka",3600000,Apartment,2,2,815,23.81501,90.43623,Badda,Nurer Chala
"Chandrima Model Town, Mohammadpur, Dhaka",6100000,Apartment,3,3,1450,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Sector 10, Uttara, Dhaka",9200000,Apartment,4,3,1700,23.86846,90.3928,Uttara,Sector 10
"Tali office Road, Hazaribag, Dhaka",4600000,Apartment,3,3,1060,23.7448,90.36347,Hazaribag,Tali office Road
"Manikdi Road, Cantonment, Dhaka",5500000,Apartment,2,2,1025,23.76629,90.41775,Cantonment,Manikdi Road
"Rajarbagh, Motijheel, Dhaka",10000000,Apartment,3,3,1320,23.72558,90.42179,Motijheel,Rajarbagh
"Agamasi Lane, Bangshal, Dhaka",2250000,Apartment,2,1,450,23.7219,90.40378,Bangshal,Agamasi Lane
"West Rampura, Rampura, Dhaka",5197500,Apartment,3,2,1155,23.76748,90.42231,Rampura,West Rampura
"Ashkona, Dakshin Khan, Dhaka",4100000,Apartment,3,2,925,23.85159,90.4151,DakshinKhan,Ashkona
"Block G, Bashundhara R-A, Dhaka",13000000,Apartment,3,3,1650,23.78357,90.40878,BashundharaR-A,Block G
"Mansurabad Housing Society, Adabor, Dhaka",6409000,Apartment,3,3,1105,23.7766,90.36276,Adabor,Mansurabad Housing Society
"Sector 3, Uttara, Dhaka",16000000,Apartment,3,4,2240,23.86846,90.3928,Uttara,Sector 3
"Block D, Lalmatia, Dhaka",23000000,Apartment,3,4,1600,23.81709,90.43238,Lalmatia,Block D
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",7500000,Apartment,3,3,1250,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Sector 13, Uttara, Dhaka",12500000,Apartment,3,3,1550,23.86846,90.3928,Uttara,Sector 13
"Malibag College Road, Malibagh, Dhaka",9500000,Apartment,3,3,1350,23.85919,90.42506,Malibagh,Malibag College Road
"Naya Bazar, Bangshal, Dhaka",8079500,Apartment,3,2,1243,23.71378,90.40432,Bangshal,Naya Bazar
"Bank Colony, Savar, Dhaka",2730000,Apartment,2,2,780,23.84152,90.24643,Savar,Bank Colony
"Ashkona, Dakshin Khan, Dhaka",9100000,Apartment,3,3,1400,23.85159,90.4151,DakshinKhan,Ashkona
"Section 2, Mirpur, Dhaka",13500000,Apartment,3,3,1605,23.81223,90.35967,Mirpur,Section 2
"Block C, Aftab Nagar, Dhaka",9000000,Apartment,3,3,1300,23.75596,90.37065,AftabNagar,Block C
"Katashur, Mohammadpur, Dhaka",4700000,Apartment,2,2,900,23.76427,90.36547,Mohammadpur,Katashur
"PC Culture Housing, Mohammadpur, Dhaka",4500000,Apartment,2,2,830,23.76427,90.36547,Mohammadpur,PC Culture Housing
"Monipuripara, Tejgaon, Dhaka",6500000,Apartment,2,2,1150,23.7921,90.37846,Tejgaon,Monipuripara
"Dhaka Uddan, Mohammadpur, Dhaka",3500000,Apartment,3,3,1150,23.76427,90.36547,Mohammadpur,Dhaka Uddan
"West Shewrapara, Mirpur, Dhaka",4500000,Apartment,2,2,950,23.81223,90.35967,Mirpur,West Shewrapara
"West Shewrapara, Mirpur, Dhaka",4500000,Apartment,2,2,950,23.81223,90.35967,Mirpur,West Shewrapara
"New Eskaton Road, Eskaton, Dhaka",22550000,Apartment,3,3,2050,23.74751,90.40013,Eskaton,New Eskaton Road
"Block E, Banasree, Dhaka",9216900,Apartment,3,3,1550,23.76354,90.4318,Banasree,Block E
"Section 1, Mirpur, Dhaka",7900000,Apartment,3,3,1550,23.81223,90.35967,Mirpur,Section 1
"Bosila, Mohammadpur, Dhaka",4600000,Apartment,2,2,850,23.76427,90.36547,Mohammadpur,Bosila
"Nobodoy Housing Society, Mohammadpur, Dhaka",6500000,Apartment,3,2,1020,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Uttar Badda, Badda, Dhaka",4410000,Apartment,2,2,980,23.81501,90.43623,Badda,Uttar Badda
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",7000000,Apartment,3,3,1080,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Madartek, Bashabo, Dhaka",8070400,Apartment,3,3,1288,23.74009,90.43418,Bashabo,Madartek
"Sonatongor Masjid Road, Hazaribag, Dhaka",6000000,Apartment,3,3,1200,23.78348,90.39614,Hazaribag,Sonatongor Masjid Road
"Ashulia, Savar, Dhaka",2656080,Apartment,2,2,952,23.84152,90.24643,Savar,Ashulia
"Nobodoy Housing Society, Mohammadpur, Dhaka",6200000,Apartment,3,3,1100,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Sector 10, Uttara, Dhaka",7500000,Apartment,3,3,1528,23.86846,90.3928,Uttara,Sector 10
"Lake Circus Road, Kalabagan, Dhaka",8000000,Apartment,3,2,1150,23.75261,90.38152,Kalabagan,Lake Circus Road
"Chandrima Model Town, Mohammadpur, Dhaka",4400000,Apartment,3,3,1100,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Bochila, Mohammadpur, Dhaka",5850000,Apartment,3,3,1200,23.76427,90.36547,Mohammadpur,Bochila
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",6300000,Apartment,3,2,1050,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"South Azampur, Dakshin Khan, Dhaka",7500000,Apartment,3,3,1370,23.85159,90.4151,DakshinKhan,South Azampur
"Sher-E-Bangla Road, Hazaribag, Dhaka",5970000,Apartment,3,3,1194,23.73494,90.36859,Hazaribag,Sher-E-Bangla Road
"Road No 5, Banani, Dhaka",40000000,Duplex,4,5,3200,23.75479,90.36056,Banani,Road No 5
"Sector 12, Uttara, Dhaka",8000000,Apartment,3,3,1600,23.86846,90.3928,Uttara,Sector 12
"Sector 15, Uttara, Dhaka",12800000,Apartment,3,3,1938,23.86846,90.3928,Uttara,Sector 15
"Ashkona, Dakshin Khan, Dhaka",4300000,Apartment,3,2,1170,23.85159,90.4151,DakshinKhan,Ashkona
"Katashur, Mohammadpur, Dhaka",6700000,Apartment,3,2,1210,23.76427,90.36547,Mohammadpur,Katashur
"Ashkona, Dakshin Khan, Dhaka",6500000,Apartment,3,2,1202,23.85159,90.4151,DakshinKhan,Ashkona
"Outer Circular Road, Maghbazar, Dhaka",10500000,Apartment,4,5,1760,23.72682,90.42152,Maghbazar,Outer Circular Road
"Block F, Bashundhara R-A, Dhaka",12300000,Apartment,3,3,1420,23.75625,90.36915,BashundharaR-A,Block F
"Middle Paikpara, Mirpur, Dhaka",7000000,Apartment,3,3,1500,23.79193,90.35733,Mirpur,Middle Paikpara
"Sector 12, Uttara, Dhaka",6000000,Apartment,2,2,930,23.86846,90.3928,Uttara,Sector 12
"South Banasree Project, Banasree, Dhaka",5880000,Apartment,3,3,1400,23.76354,90.4318,Banasree,South Banasree Project
"Chandrima Model Town, Mohammadpur, Dhaka",3800000,Apartment,3,2,950,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Manikdi, Cantonment, Dhaka",5737500,Apartment,3,3,1275,23.73905,90.46181,Cantonment,Manikdi
"West Shewrapara, Mirpur, Dhaka",8400000,Apartment,3,3,1400,23.81223,90.35967,Mirpur,West Shewrapara
"Block A, Bashundhara R-A, Dhaka",10500000,Apartment,3,4,1325,23.75669,90.37316,BashundharaR-A,Block A
"Ismail Lane, Eskaton, Dhaka",4200000,Apartment,2,2,800,23.74672,90.40125,Eskaton,Ismail Lane
"Mohammadi Housing LTD., Mohammadpur, Dhaka",4000000,Apartment,2,2,720,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
"Sector 11, Uttara, Dhaka",13000000,Apartment,3,3,1507,23.86846,90.3928,Uttara,Sector 11
"Sector 10, Uttara, Dhaka",9000000,Apartment,3,3,1210,23.86846,90.3928,Uttara,Sector 10
"Section 2, Mirpur, Dhaka",3600000,Apartment,3,2,1000,23.81223,90.35967,Mirpur,Section 2
"Shiddeswari Road, Shiddheswari, Dhaka",9700000,Apartment,3,3,1365,23.76629,90.41775,Shiddheswari,Shiddeswari Road
"Bangshal Road, Bangshal, Dhaka",8624000,Apartment,3,2,1120,23.76629,90.41775,Bangshal,Bangshal Road
"Sector 11, Uttara, Dhaka",13000000,Apartment,3,3,1900,23.86846,90.3928,Uttara,Sector 11
"East Kazipara, Mirpur, Dhaka",5000000,Apartment,3,2,975,23.80091,90.37135,Mirpur,East Kazipara
"Bagicha Mashjid Road, North Shahjahanpur, Dhaka",4680000,Apartment,2,2,900,23.7971,90.37163,NorthShahjahanpur,Bagicha Mashjid Road
"Section 15, Mirpur, Dhaka",14500000,Apartment,3,4,1872,23.81223,90.35967,Mirpur,Section 15
"Sector 5, Uttara, Dhaka",15300000,Apartment,3,4,1800,23.86846,90.3928,Uttara,Sector 5
"East Rampura, Rampura, Dhaka",7000000,Apartment,4,4,1510,23.76036,90.41909,Rampura,East Rampura
"Block A, Lalmatia, Dhaka",20677000,Apartment,3,3,1798,23.75669,90.37316,Lalmatia,Block A
"West Shewrapara, Mirpur, Dhaka",5000000,Apartment,3,2,1220,23.81223,90.35967,Mirpur,West Shewrapara
"Section 2, Mirpur, Dhaka",11500000,Apartment,3,3,1550,23.81223,90.35967,Mirpur,Section 2
"Shekhertek, Mohammadpur, Dhaka",8020000,Apartment,3,3,1350,23.76427,90.36547,Mohammadpur,Shekhertek
"Goran, Khilgaon, Dhaka",4500000,Apartment,2,2,810,23.75349,90.42469,Khilgaon,Goran
"Jigatola, Hazaribag, Dhaka",4200000,Apartment,2,2,700,23.73926,90.37563,Hazaribag,Jigatola
"Konapara, Demra, Dhaka",3000000,Apartment,2,2,1040,23.71032,90.46983,Demra,Konapara
"Paikpara, Mirpur, Dhaka",9410000,Apartment,3,3,1340,23.79193,90.35733,Mirpur,Paikpara
"Darussalam, Mirpur, Dhaka",5500000,Apartment,3,3,1100,23.7792,90.35374,Mirpur,Darussalam
"Sher-E-Bangla Road, Hazaribag, Dhaka",5860000,Apartment,3,3,1172,23.73494,90.36859,Hazaribag,Sher-E-Bangla Road
"Section 2, Mirpur, Dhaka",5500000,Apartment,2,2,1100,23.81223,90.35967,Mirpur,Section 2
"Manikdi, Cantonment, Dhaka",4594500,Apartment,3,3,1021,23.73905,90.46181,Cantonment,Manikdi
"South Banasree Project, Banasree, Dhaka",10000000,Apartment,3,2,1440,23.76354,90.4318,Banasree,South Banasree Project
"Block B, Aftab Nagar, Dhaka",10500000,Apartment,4,3,1674,23.75729,90.36781,AftabNagar,Block B
"Shamibag, Sutrapur, Dhaka",7600000,Apartment,3,3,1300,23.70311,90.42015,Sutrapur,Shamibag
"Block B, Lalmatia, Dhaka",17600000,Apartment,3,3,1874,23.75729,90.36781,Lalmatia,Block B
"Chandrima Model Town, Mohammadpur, Dhaka",6000000,Apartment,3,3,1441,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Section 7, Mirpur, Dhaka",6500000,Apartment,3,2,1160,23.81223,90.35967,Mirpur,Section 7
"Middle Badda, Badda, Dhaka",5025000,Apartment,3,2,1005,23.77753,90.4259,Badda,Middle Badda
"Middle Paikpara, Mirpur, Dhaka",5700000,Apartment,3,3,1150,23.79193,90.35733,Mirpur,Middle Paikpara
"West Dolairpar, Shyampur, Dhaka",4000000,Apartment,3,3,1100,23.70283,90.43515,Shyampur,West Dolairpar
"Sector 5, Uttara, Dhaka",13875000,Apartment,3,4,1850,23.86846,90.3928,Uttara,Sector 5
"Sector 3, Uttara, Dhaka",14500000,Apartment,4,4,2150,23.86846,90.3928,Uttara,Sector 3
"East Bashabo, Bashabo, Dhaka",5870000,Apartment,3,3,1305,23.7405,90.43472,Bashabo,East Bashabo
"Matuail, Demra, Dhaka",5000000,Apartment,3,2,1100,23.7121,90.4598,Demra,Matuail
"Baitul Aman Housing Society, Adabor, Dhaka",7850000,Apartment,3,3,1405,23.7766,90.36276,Adabor,Baitul Aman Housing Society
"Poribagh Road Number 2, Paribagh, Dhaka",50000000,Apartment,3,3,2720,23.77527,90.35955,Paribagh,Poribagh Road Number 2
"Taltola, Agargaon, Dhaka",6500000,Apartment,3,3,1258,23.77323,90.37154,Agargaon,Taltola
"Sector 5, Uttara, Dhaka",11625000,Apartment,3,3,1550,23.86846,90.3928,Uttara,Sector 5
"East Monipur, Mirpur, Dhaka",6825000,Apartment,3,3,1265,23.81223,90.35967,Mirpur,East Monipur
"Block I, Bashundhara R-A, Dhaka",14287500,Apartment,4,3,1905,23.66803,90.43935,BashundharaR-A,Block I
"Nobodoy Housing Society, Mohammadpur, Dhaka",3600000,Apartment,2,2,750,23.76427,90.36547,Mohammadpur,Nobodoy Housing Society
"Section 10, Mirpur, Dhaka",3800000,Apartment,2,2,760,23.81223,90.35967,Mirpur,Section 10
"Block I, Bashundhara R-A, Dhaka",12375000,Apartment,3,4,1220,23.66803,90.43935,BashundharaR-A,Block I
"PC Culture Housing, Mohammadpur, Dhaka",9300000,Apartment,3,3,1460,23.76427,90.36547,Mohammadpur,PC Culture Housing
"Dolphin Goli Road, Kalabagan, Dhaka",5000000,Apartment,2,3,1050,23.75093,90.37989,Kalabagan,Dolphin Goli Road
"East Shewrapara, Mirpur, Dhaka",4000000,Apartment,3,2,950,23.79255,90.3749,Mirpur,East Shewrapara
"Chandrima Model Town, Mohammadpur, Dhaka",5781000,Apartment,3,3,1566,23.76427,90.36547,Mohammadpur,Chandrima Model Town
"Doniya, Shyampur, Dhaka",4800000,Apartment,3,2,1200,23.68094,90.43935,Shyampur,Doniya
"Section 10, Mirpur, Dhaka",8000000,Apartment,3,2,1265,23.81223,90.35967,Mirpur,Section 10
"Uttar Badda, Badda, Dhaka",4158000,Apartment,3,3,1260,23.81501,90.43623,Badda,Uttar Badda
"West Agargaon, Agargaon, Dhaka",8000000,Apartment,3,3,1425,23.77323,90.37154,Agargaon,West Agargaon
"Sector 13, Uttara, Dhaka",12500000,Apartment,3,3,1550,23.86846,90.3928,Uttara,Sector 13
"Road No 11A, Dhanmondi, Dhaka",35000000,Apartment,4,4,2200,23.76629,90.41775,Dhanmondi,Road No 11A
"Mansurabad Housing Society, Adabor, Dhaka",4602150,Apartment,3,2,965,23.7766,90.36276,Adabor,Mansurabad Housing Society
"Sector 11, Uttara, Dhaka",9000000,Apartment,2,3,1000,23.86846,90.3928,Uttara,Sector 11
"Uttar Badda, Badda, Dhaka",6050000,Apartment,3,3,1200,23.81501,90.43623,Badda,Uttar Badda
"Naya Bazar, Bangshal, Dhaka",4764500,Apartment,2,1,733,23.71378,90.40432,Bangshal,Naya Bazar
